,Latitude,Longitude,Region,Council,Ward,SchoolName,Ownership
0,-3.3620171,36.6856885,Arusha,Arusha,Kiranyi,Albehije,Non-Government
1,-3.3579834,36.6780255,Arusha,Arusha,Kiranyi,Arusha Victory,Non-Government
2,-3.385133,36.5491474,Arusha,Arusha,Mateves,Assalaf,Non-Government
3,-3.3403253,36.7431434,Arusha,Arusha,Bangata,Bangata,Government
4,-3.3639833,36.5626783,Arusha,Arusha,Mateves,Bethany,Non-Government
5,-3.36329,36.60316,Arusha,Arusha,Olorien,Blue Bell,Non-Government
6,-3.6076467,36.8447191,Arusha,Arusha,Bwawani,Bwawani,Government
7,-3.3773035,36.5862759,Arusha,Arusha,Mateves,Deanery,Non-Government
8,-3.4506519,36.7924085,Arusha,Arusha,Mlangarini,Dinka,Non-Government
9,-3.9392741,36.360456,Arusha,Arusha,Sokon II,Ebenezer,Non-Government
10,-3.2983403,36.6267205,Arusha,Arusha,Olturumet,Ekenywa,Government
11,-3.310745,36.645403,Arusha,Arusha,Olmotonyi,Ekica,Non-Government
12,-3.3080883,36.6489966,Arusha,Arusha,Olmotonyi,Emaoi,Government
13,-3.3227865,36.6515627,Arusha,Arusha,Tarakwa,Endoinyoesoye,Government
14,-3.2379416,36.5442366,Arusha,Arusha,Mwandet,Engalaoni,Government
15,-3.3722475,36.7538238,Arusha,Arusha,Bangata,Engikareti,Government
16,-3.3472802,36.6992602,Arusha,Arusha,Moivo,Engilang'Et,Non-Government
17,-3.2327941,36.6422835,Arusha,Arusha,Lemanyata,Engorika,Government
18,-3.0463618,36.7477283,Arusha,Arusha,Oldonyowass,Engutukoit,Government
19,-3.4320129,36.6517247,Arusha,Arusha,Laroi,Enjoro,Government
20,-3.3618709,36.6685859,Arusha,Arusha,Kiranyi,Enyuata,Government
21,-3.3373669,36.5598478,Arusha,Arusha,Musa,Eunoto,Government
22,-3.3551844,36.6921826,Arusha,Arusha,Moivo,Goodwill,Non-Government
23,-3.3475766,36.6696166,Arusha,Arusha,Kiranyi,Gracious,Non-Government
24,-3.3624253,36.7056632,Arusha,Arusha,Kiutu,Green Acres,Non-Government
25,-3.346742,36.7242141,Arusha,Arusha,Kiutu,Green Pastures,Non-Government
26,-3.4711334,36.6567329,Arusha,Arusha,Laroi,Heda,Non-Government
