,Place,Region,Country,SchoolName,Ownership,Latitude,Longitude,WindSpeed,WindDegree,WindDirection,Gust,Pressure,Precipitation,Temperature,Visibility,Humidity,Cloud,UV
0,Arusha,Arusha,Tanzania,ALBEHIJE,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
1,Arusha,Arusha,Tanzania,ARUSHA VICTORY,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
2,Arusha,Arusha,Tanzania,ASSALAF,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
3,Arusha,Arusha,Tanzania,BANGATA,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
4,Arusha,Arusha,Tanzania,BETHANY,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
5,Arusha,Arusha,Tanzania,BLUE BELL,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
6,Arusha,Arusha,Tanzania,BWAWANI,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
7,Arusha,Arusha,Tanzania,DEANERY,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
8,Arusha,Arusha,Tanzania,DINKA,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
9,Sokon,Arusha,Tanzania,EBENEZER,Non-Government,-3.37,36.7,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
10,Arusha,Arusha,Tanzania,EKENYWA,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
11,Olmotonyi,Arusha,Tanzania,EKICA,Non-Government,-3.32,36.63,6.0,137,SE,7.0,1018.0,0.06,21.8,6.0,62,80,6.0
12,Olmotonyi,Arusha,Tanzania,EMAOI,Government,-3.32,36.63,6.0,137,SE,7.0,1018.0,0.06,21.8,6.0,62,80,6.0
13,Arusha,Arusha,Tanzania,ENDOINYOESOYE,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
14,Arusha,Arusha,Tanzania,ENGALAONI,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
15,Arusha,Arusha,Tanzania,ENGIKARETI,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
16,Arusha,Arusha,Tanzania,ENGILANG'ET,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
17,Arusha,Arusha,Tanzania,ENGORIKA,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
18,Arusha,Arusha,Tanzania,ENGUTUKOIT,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
19,Arusha,Arusha,Tanzania,ENJORO,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
20,Arusha,Arusha,Tanzania,ENYUATA,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
21,Arusha,Arusha,Tanzania,EUNOTO,Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
22,Arusha,Arusha,Tanzania,GOODWILL,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
23,Arusha,Arusha,Tanzania,GRACIOUS,Non-Government,-3.37,36.68,6.7,130,SE,7.7,1017.0,0.06,24.8,6.0,61,88,6.0
