"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-01","0.00",",,S","81","H,,S","86",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-02","0.04",",,S","81","H,,S","88",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-03","0.00",",,S","81","H,,S","88",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-04","0.37",",,S","83","H,,S","90",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-05","0.00",",,S","83","H,,S","90",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-06",,,"83","H,,S","90",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-07",,,"83","H,,S",,,,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-08",,,"83","H,,S","90",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-09",,,"84","H,,S",,,"79",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-10","0.20",",,S","80","H,,S","83",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-11","0.03",",,S","82","H,,S",,,"77",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-12","0.00",",,S","82","H,,S",,,,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-13","0.00",",,S","82","H,,S","88",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-14",,,"81","H,,S","89",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-15",,,"81","H,,S",,,,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-16",,,"83","H,,S","92",",,S","76",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-17",,,"83","H,,S","92",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-18",,,"83","H,,S","92",",,S",,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-19",,,"83","H,,S",,,"76",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-20",,,"85","H,,S",,,,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-21",,,"83","H,,S",,,,
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-22",,,"84","H,,S","91",",,S","76",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-23","0.00",",,S","84","H,,S","91",",,S","78",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-24",,,"83","H,,S","92",",,S","78",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-25",,,"83","H,,S","92",",,S","77",",,S"
"TZM00063870","ZANZIBAR, TZ","-6.222","39.225","16.5","2021-01-26","0.46",",,S","82","H,,S","89",",,S","77",",,S"
